id,first_name,last_name,note,assnat_url,wikidata_id
abbott-john-joseph-caldwell-1715,John Joseph Caldwell,Abbott,,https://www.assnat.qc.ca/fr/deputes/abbott-john-joseph-caldwell-1715/index.html,Q128696
abou-khalil-alice-19315,Alice,Abou-Khalil,,https://www.assnat.qc.ca/fr/deputes/abou-khalil-alice-19315/index.html,Q108681776
acheson-archibald-3,Archibald,Acheson,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/acheson-archibald-3.html,Q2860082
achim-honore-1717,Honoré,Achim,,https://www.assnat.qc.ca/fr/deputes/achim-honore-1717/index.html,Q3140205
adam-philippe-1719,Philippe,Adam,,https://www.assnat.qc.ca/fr/deputes/adam-philippe-1719/index.html,Q7184759
alexander-charles-1721,Charles,Alexander,,https://www.assnat.qc.ca/fr/deputes/alexander-charles-1721/index.html,Q5075037
alfred-jean-1723,Jean,Alfred,,https://www.assnat.qc.ca/fr/deputes/alfred-jean-1723/index.html,Q3170328
allaire-simon-17941,Simon,Allaire,,https://www.assnat.qc.ca/fr/deputes/allaire-simon-17941/index.html,Q56876980
allard-felix-1725,Félix,Allard,,https://www.assnat.qc.ca/fr/deputes/allard-felix-1725/index.html,Q5511565
allard-jules-1727,Jules,Allard,,https://www.assnat.qc.ca/fr/deputes/allard-jules-1727/index.html,Q6305711
allard-paul-emile-1729,Paul-Émile,Allard,,https://www.assnat.qc.ca/fr/deputes/allard-paul-emile-1729/index.html,Q7148930
allard-victor-1731,Victor,Allard,,https://www.assnat.qc.ca/fr/deputes/allard-victor-1731/index.html,Q7925673
allcock-henry-5,Henry,Allcock,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/allcock-henry-5.html,Q5717234
alleyn-charles-joseph-1733,Charles Joseph,Alleyn,,https://www.assnat.qc.ca/fr/deputes/alleyn-charles-joseph-1733/index.html,Q5079600
alleyn-richard-1735,Richard,Alleyn,,https://www.assnat.qc.ca/fr/deputes/alleyn-richard-1735/index.html,Q15442935
allsopp-george-937,George,Allsopp,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/allsopp-george-937.html,Q5536209
allsopp-george-waters-1737,George Waters,Allsopp,,https://www.assnat.qc.ca/fr/deputes/allsopp-george-waters-1737/index.html,Q5546064
amiot-pierre-1739,Pierre,Amiot,,https://www.assnat.qc.ca/fr/deputes/amiot-pierre-1739/index.html,Q7192043
amyot-georges-elie-7,Georges-Élie,Amyot,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/amyot-georges-elie-7.html,Q28493529
anderson-anthony-1741,Anthony,Anderson,,https://www.assnat.qc.ca/fr/deputes/anderson-anthony-1741/index.html,Q4771999
anderson-thomas-brown-9,Thomas Brown,Anderson,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/anderson-thomas-brown-9.html,Q7787959
angers-auguste-real-1743,Auguste-Réal,Angers,,https://www.assnat.qc.ca/fr/deputes/angers-auguste-real-1743/index.html,Q352902
anglade-dominique-16499,Dominique,Anglade,,https://www.assnat.qc.ca/fr/deputes/anglade-dominique-16499/index.html,Q3034943
aquin-francois-1745,François,Aquin,,https://www.assnat.qc.ca/fr/deputes/aquin-francois-1745/index.html,Q3083836
arcand-charles-joseph-1747,Charles-Joseph,Arcand,,https://www.assnat.qc.ca/fr/deputes/arcand-charles-joseph-1747/index.html,Q2958153
arcand-jean-olivier-1749,Jean-Olivier,Arcand,,https://www.assnat.qc.ca/fr/deputes/arcand-jean-olivier-1749/index.html,Q6169726
arcand-pierre-421,Pierre,Arcand,,https://www.assnat.qc.ca/fr/deputes/arcand-pierre-421/index.html,Q3383756
archambault-alexandre-1751,Alexandre,Archambault,,https://www.assnat.qc.ca/fr/deputes/archambault-alexandre-1751/index.html,Q4720801
archambault-charles-1753,Charles,Archambault,,https://www.assnat.qc.ca/fr/deputes/archambault-charles-1753/index.html,Q5075176
archambault-francois-xavier-1755,François-Xavier,Archambault,,https://www.assnat.qc.ca/fr/deputes/archambault-francois-xavier-1755/index.html,Q5493131
archambault-jacques-1757,Jacques,Archambault,,https://www.assnat.qc.ca/fr/deputes/archambault-jacques-1757/index.html,Q6120394
archambault-jean-1759,Jean,Archambault,,https://www.assnat.qc.ca/fr/deputes/archambault-jean-1759/index.html,Q6170128
archambault-pierre-urgel-11,Pierre-Urgel,Archambault,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/archambault-pierre-urgel-11.html,Q7192025
archambeault-horace-13,Horace,Archambeault,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/archambeault-horace-13.html,Q5901469
archambeault-louis-1761,Louis,Archambeault,,https://www.assnat.qc.ca/fr/deputes/archambeault-louis-1761/index.html,Q3261089
armand-joseph-flavien-15,Joseph-François,Armand,né Joseph-Flavien,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/armand-joseph-flavien-15.html,Q6280611
armstrong-david-morrison-1763,David Morrison,Armstrong,,https://www.assnat.qc.ca/fr/deputes/armstrong-david-morrison-1763/index.html,Q5237753
arsenault-bona-1765,Bona,Arsenault,,https://www.assnat.qc.ca/fr/deputes/arsenault-bona-1765/index.html,Q2909869
arsenault-damien-11497,Damien,Arsenault,,https://www.assnat.qc.ca/fr/deputes/arsenault-damien-11497/index.html,Q373409
arseneau-joel-17947,Joël,Arseneau,,https://www.assnat.qc.ca/fr/deputes/arseneau-joel-17947/index.html,Q56877075
arseneau-maxime-1767,Maxime,Arseneau,,https://www.assnat.qc.ca/fr/deputes/arseneau-maxime-1767/index.html,Q3302481
ashby-joseph-seraphin-aime-1769,Joseph-Séraphin-Aimé,Ashby,,https://www.assnat.qc.ca/fr/deputes/ashby-joseph-seraphin-aime-1769/index.html,Q3184425
assad-mark-1771,Mark,Assad,,https://www.assnat.qc.ca/fr/deputes/assad-mark-1771/index.html,Q3293987
asselin-edouard-17,Édouard,Asselin,,https://www.assnat.qc.ca/fr/patrimoine/anciens-parlementaires/asselin-edouard-17.html,Q20751670
