legislature,session,member_id
43,1,proulx-caroline-17837
43,1,caire-eric-485
43,1,lamothe-denis-17901
43,1,skeete-christopher-17873
43,1,reid-claude-17833
43,1,levesque-mathieu-17851
43,1,laforest-andree-17913
43,1,charette-benoit-195
43,1,caron-linda-19313
43,1,girard-eric-17957
43,1,legault-francois-4131
43,1,haytayan-celine-19309
43,1,drainville-bernard-209
43,1,allaire-simon-17941
43,1,lemay-mathieu-15403
43,1,rouleau-chantal-17931
43,1,blanchette-vezina-maite-19275
43,1,guillemette-nancy-18247
43,1,hebert-genevieve-17877
43,1,lemieux-louis-17879
43,1,carmant-lionel-17893
43,1,asselin-mario-17905
43,1,schmaltz-valerie-19259
43,1,provencal-luc-17829
43,1,dorismond-shirley-19063
43,1,boivin-roy-karine-19255
43,1,dery-pascale-19277
43,1,tanguay-marc-11789
43,1,abou-khalil-alice-19315
43,1,lamontagne-andre-15401
43,1,nichols-marie-claude-15439
43,1,lacombe-mathieu-17927
43,1,caron-vincent-17849
43,1,nadeau-dubois-gabriel-16827
43,1,anglade-dominique-16499
43,1,bourassa-kariane-19291
43,1,boutin-joelle-18561
43,1,dube-christian-12223
43,1,rotiroti-filomena-1171
43,1,beauchemin-frederic-19307
43,1,gentilcore-catherine-20131
43,1,biron-martine-19297
43,1,champagne-jourdain-kateri-19303
43,1,garceau-brigitte-b-19271
43,1,mcgraw-desiree-19283
43,1,bachand-andre-17859
43,1,benjamin-frantz-17909
43,1,belanger-gilles-17925
43,1,blais-suzanne-17825
43,1,boulet-jean-17899
43,1,simard-jean-francois-5369
43,1,guilbault-genevieve-16885
43,1,soucy-chantal-15417
43,1,jolin-barrette-simon-15359
43,1,lakhoyan-olivier-sona-19295
43,1,girard-eric-17929
43,1,charest-isabelle-17845
43,1,grandmont-etienne-19267
43,1,bouazzi-haroun-19305
43,1,fontecilla-andres-17953
43,1,dufour-virginie-19287
43,1,maccarone-jennifer-17911
43,1,lecours-lucie-17949
43,1,jacques-francois-17937
43,1,laframboise-mario-15357
43,1,tremblay-suzanne-19323
43,1,ciccone-enrico-17943
43,1,prass-elisabeth-19301
43,1,zanetti-sol-17955
43,1,schneeberger-sebastien-5909
43,1,belanger-sonia-19281
43,1,cadet-madwa-nika-19261
43,1,derraji-monsef-17923
43,1,morin-andre-albert-19253
